step,cafe_frobenius_norm,cafe_normalized_energy,passive_frobenius_norm,passive_normalized_energy,persistent_norm,working_norm,scratchpad_norm,unbounded_energy
14600,0.02086,0.00012,0.03301,0.00018,0.01573,0.01162,0.00725,0.13485
14800,0.02971,0.00016,0.03291,0.00018,0.02313,0.01604,0.00951,0.13573
15000,0.02464,0.00014,0.03207,0.00018,0.01928,0.01345,0.00739,0.13729
15200,0.02547,0.00014,0.03276,0.00018,0.02094,0.01256,0.00725,999999.0
15400,0.01873,0.0001,0.03233,0.00018,0.0149,0.00979,0.00576,999999.0
15600,0.02713,0.00015,0.03303,0.00018,0.02061,0.01541,0.00857,999999.0
15800,0.02627,0.00015,0.03333,0.00018,0.02045,0.01381,0.00901,999999.0
16000,0.03153,0.00017,0.0327,0.00018,0.02451,0.01732,0.00968,999999.0
16200,0.0261,0.00014,0.03275,0.00018,0.02068,0.0138,0.00795,999999.0
16400,0.02328,0.00013,0.03185,0.00018,0.01795,0.01255,0.0079,999999.0
16600,0.02861,0.00016,0.03312,0.00018,0.02197,0.01509,0.01041,999999.0
16800,0.01778,0.0001,0.03328,0.00018,0.01398,0.00939,0.00568,999999.0
17000,0.01767,0.0001,0.03267,0.00018,0.01407,0.00941,0.00508,999999.0
17200,0.02889,0.00016,0.03309,0.00018,0.02298,0.01531,0.00847,999999.0
17400,0.02991,0.00017,0.0333,0.00018,0.02416,0.01475,0.00967,999999.0
17600,0.0258,0.00014,0.03286,0.00018,0.01987,0.01432,0.00812,999999.0
17800,0.01895,0.0001,0.03251,0.00018,0.0152,0.00977,0.00572,999999.0
18000,0.02362,0.00013,0.03194,0.00018,0.01845,0.0126,0.00766,999999.0
18200,0.02471,0.00014,0.03362,0.00019,0.01975,0.01321,0.00678,999999.0
18400,0.02409,0.00013,0.03216,0.00018,0.0185,0.01373,0.00706,999999.0
18600,0.02396,0.00013,0.03255,0.00018,0.01876,0.01268,0.00783,999999.0
18800,0.02349,0.00013,0.03307,0.00018,0.01872,0.01222,0.00722,999999.0
19000,0.02106,0.00012,0.03251,0.00018,0.01651,0.0114,0.00641,999999.0
19200,0.01779,0.0001,0.03285,0.00018,0.01357,0.01014,0.00544,999999.0
19400,0.02727,0.00015,0.03255,0.00018,0.0209,0.01535,0.00846,999999.0
19600,0.02539,0.00014,0.03134,0.00017,0.01964,0.01337,0.00895,999999.0
19800,0.02562,0.00014,0.03279,0.00018,0.02015,0.0138,0.00774,999999.0
20000,0.02878,0.00016,0.03236,0.00018,0.02254,0.01545,0.00904,999999.0
20200,0.03059,0.00017,0.0324,0.00018,0.02404,0.01634,0.00955,999999.0
20400,0.03318,0.00018,0.03251,0.00018,0.02578,0.01804,0.01053,999999.0
20600,0.02399,0.00013,0.03197,0.00018,0.01916,0.01291,0.00644,999999.0
20800,0.02973,0.00016,0.03259,0.00018,0.02332,0.01567,0.0097,999999.0
21000,0.02036,0.00011,0.03263,0.00018,0.01601,0.01083,0.00638,999999.0
21200,0.01696,9e-05,0.03226,0.00018,0.01295,0.00975,0.00497,999999.0
21400,0.03561,0.0002,0.03307,0.00018,0.0289,0.01809,0.01028,999999.0
21600,0.02885,0.00016,0.03269,0.00018,0.02234,0.01597,0.00886,999999.0
21800,0.02873,0.00016,0.03216,0.00018,0.02302,0.01448,0.00927,999999.0
22000,0.02826,0.00016,0.03365,0.00019,0.02275,0.01427,0.00879,999999.0
22200,0.02077,0.00011,0.03361,0.00019,0.01632,0.01104,0.00659,999999.0
22400,0.03062,0.00017,0.03277,0.00018,0.02391,0.01674,0.00925,999999.0
22600,0.02616,0.00014,0.03255,0.00018,0.01938,0.015,0.00915,999999.0
